id,loss
4,1583.65255127
6,1775.25256104
9,8587.05410156
12,7144.39972656
15,783.072320557
17,2203.75768555
21,1992.1765332
28,827.572283936
32,2867.3379541
43,2977.47055664
46,2775.28774902
50,864.062637939
54,1089.97410645
62,2127.47688721
70,2157.23904297
71,4709.21400879
75,2130.59272217
77,2198.760625
81,2412.52668945
83,2430.83003906
87,1660.54040283
97,1811.69083496
103,984.80119751
119,936.694650879
120,1610.42073242
127,968.511774902
138,4791.29299805
141,2823.05772461
148,845.223131104
150,2418.33080566
151,2156.95349609
158,1308.42701416
160,6028.51788086
165,2212.56133789
168,3587.42507812
169,3906.94385254
177,2949.22099121
178,3684.8525
184,2230.15824219
194,8186.39177734
198,1564.57251953
203,3536.13088867
211,2294.98710449
217,1204.57899414
219,1055.61543945
221,5710.71769531
227,1761.0265918
230,1335.77322021
235,1859.42667236
240,730.54786499
243,2820.32071289
249,5680.75542969
253,2644.7040332
258,1442.18649902
261,1717.75194336
263,3437.20379395
264,2360.78487305
265,4148.08804688
268,1871.77890625
271,1005.94872925
274,5780.00006836
275,733.443876953
279,1460.11605225
282,1703.51332275
286,3401.70328613
288,1115.29778564
294,2057.3731543
296,1031.42414795
297,1412.45490723
300,771.876010742
303,8891.90692383
314,1070.39034546
315,4641.52807617
321,2428.01735352
323,3939.09363281
330,3334.61186035
341,1889.63176758
342,4362.57193359
352,1586.16529541
353,3407.6988623
360,5881.34892578
361,2074.36612793
362,4267.18765625
366,1219.31188232
372,3331.98797363
376,2725.94643555
377,1941.29791016
379,1612.14579102
380,3711.16401367
387,1633.5507666
392,1936.97808594
394,10158.0080469
395,1528.01010742
397,1424.66346191
407,6396.13932617
411,8671.19082031
416,2353.63418945
417,1518.7675708
419,5077.12321289
428,5779.76349609
431,1721.00254639
436,7964.13469727
438,1580.38214111
445,6122.20754883
446,7463.13927734
455,1337.65480957
456,1157.73791992
461,917.743122559
463,1703.11759766
464,3415.5135791
466,1558.7511499
467,924.819755859
470,1212.56989746
475,1461.58361572
482,3158.01789062
490,3769.75801758
496,1747.01959229
497,4690.97788086
508,2843.9153418
510,1770.26804687
512,2079.22979736
513,3411.69031738
523,1680.84731689
531,4829.95771484
532,2272.43133789
533,1250.84467529
537,1185.71875488
544,4567.25917969
547,2557.72835937
556,7708.43313477
565,1392.98433838
566,1123.41962891
571,1521.75775391
573,1868.02074463
574,909.342277832
581,2044.72752441
585,2160.32729248
589,1536.87873779
597,1939.0052124
601,2963.30166016
602,1709.76361084
613,1387.48323486
616,1526.46956299
619,1832.30260986
622,1679.37134033
623,2120.07469971
629,1686.99812012
634,1486.96434326
638,1000.4386853
642,994.766586914
643,2087.8571167
645,1031.69641113
648,7973.77578125
652,1103.49376465
664,877.650194092
666,2244.8323291
672,868.509631348
676,2335.46788086
678,4757.53732422
682,1912.89247559
686,2873.50148438
688,2040.22272217
689,1246.73473633
690,1794.97506104
692,10867.3701953
695,1727.94405029
697,4334.01495605
698,2133.39227539
706,2365.44581055
708,1428.15066162
712,2748.70442871
715,3667.51537109
717,1345.30183105
725,3309.29206543
729,901.008557129
737,1257.52250244
739,5229.39161133
747,4054.51543945
753,2579.09730469
758,2130.20995361
759,2166.78263672
763,1344.69272461
773,4098.11416992
774,1855.33074707
776,1519.39099365
788,2533.53537109
790,2972.62053711
794,895.097999268
801,2558.80230957
802,1410.06512939
805,1474.28118896
809,5747.36698242
812,1545.91731934
825,2405.72385254
828,1880.48693604
830,1374.28908936
833,968.767685547
850,5514.81307617
852,6354.32952148
862,1575.63306885
863,1437.14361572
864,1440.5669043
865,3447.58177734
868,6553.25637695
872,1465.21327881
879,5668.99777344
880,1524.32593506
883,1334.70185059
886,1233.24361816
923,1800.82505127
924,1551.5453125
932,1448.96749268
945,6861.38450195
947,6878.20293945
948,2000.49227051
955,2685.15102539
963,4041.31813965
979,1424.07088379
989,1569.28667725
994,2860.58343262
995,1887.61168945
998,1639.29040527
1000,4607.3105127
1018,1798.45404541
1019,1479.78465332
1028,2194.94975098
1034,1447.66638672
1038,1777.65530518
1040,1355.7949707
1042,1210.88520752
1057,7047.24835938
1058,2681.55060547
1063,960.530649414
1066,4711.63092773
1071,3868.69931152
1073,3607.6246875
1074,2941.4089502
1077,2716.94525391
1080,9987.96123047
1088,903.439969482
1096,754.562355957
1097,10445.9252539
1105,5597.61269531
1115,2175.38393555
1116,3126.57095703
1122,1981.44313232
1130,4714.75521484
1133,929.196585693
1137,1571.35028809
1140,2005.26267822
1143,7819.70336914
1149,5704.31834961
1150,845.468013916
1153,798.782457275
1157,789.487280273
1180,663.352368164
1183,862.682463379
1188,1527.63647217
1193,1023.07708252
1200,837.798000488
1209,3921.65791992
1214,1912.50987793
1219,1962.17982666
1223,5797.40750977
1227,827.632402344
1228,1409.35235596
1229,4059.37794922
1233,830.365396729
1238,6478.99652344
1239,2003.25304688
1241,3309.78134277
1243,1832.1527124
1244,927.821705322
1245,3214.52329102
1277,4673.42458008
1279,2837.35980957
1292,10797.9700586
1293,1416.2507666
1299,9019.62652344
1304,2750.18243652
1313,3968.47208008
1328,2139.83894287
1330,1252.09021484
1334,1421.74264648
1335,1237.33531494
1336,6297.87566406
1341,943.816102295
1344,962.789030762
1351,899.741605225
1352,1997.40042236
1354,1479.60636475
1368,3624.72770508
1373,1595.53867676
1375,712.89505127
1381,1592.08493896
1384,4550.21822754
1385,4322.84321289
1388,4899.26381836
1401,6463.76300781
1402,2622.81384277
1404,1442.94808838
1406,1450.86186768
1409,1217.52188721
1422,1498.42381836
1429,3374.50654297
1433,5524.87797852
1438,1155.10604004
1444,1253.64870361
1446,1004.86221191
1450,1119.82505615
1451,846.54045166
1454,1694.69046875
1458,2230.74498047
1461,3587.5984082
1464,5943.24733398
1465,973.648239746
1478,1896.43962646
1479,1622.04276855
1480,2549.0721875
1484,2168.22637207
1486,809.304067383
1488,764.821748047
1489,3251.38175781
1491,1021.62537109
1507,1878.01262451
1515,2121.25075684
1519,2634.11225098
1528,1713.52074219
1529,925.544044189
1530,3096.29918945
1532,1226.11708252
1541,1562.3895752
1542,2897.94744629
1547,1244.80302002
1549,1154.46902588
1553,2209.98135254
1554,2792.22047363
1555,1268.47277832
1559,1543.59948486
1565,1583.37459229
1568,1186.80978271
1576,3791.42125977
1579,952.146140137
1592,947.189692383
1596,3325.02328125
1605,862.712058105
1607,1196.50006104
1612,1711.01927979
1617,3071.33608398
1619,2454.38310547
1620,8173.98483398
1624,2598.50001953
1627,1182.05528809
1633,1747.35635254
1636,1159.58574219
1639,1002.98771484
1640,4211.27478516
1644,1018.07036621
1646,1422.82568115
1647,2289.76311768
1654,1469.61881104
1655,3517.47929687
1664,6419.42580078
1665,2168.26291992
1667,4683.08280762
1669,1054.3518457
1678,2147.56919678
1682,2025.64007812
1689,1132.48758301
1690,2898.22739746
1693,5775.80805664
1695,845.596273193
1705,2526.11965332
1706,2482.00669922
1708,2122.71507324
1716,2191.30309814
1720,8062.15660156
1722,1852.84888916
1749,4269.32867676
1750,1571.76809326
1751,5285.31876953
1760,3494.5290918
1763,3436.81570312
1770,1516.41700928
1777,1766.79467285
1785,5412.34602539
1791,1047.85418701
1794,4062.26464355
1800,1343.64780518
1816,1320.93210693
1817,861.452774658
1821,3425.71764648
1836,1240.07376465
1838,1883.14500977
1851,1724.54025391
1852,2955.39598633
1854,2457.5636377
1856,831.499943848
1865,776.825220947
1872,1092.09172363
1878,760.431887207
1880,1006.9127832
1881,1440.89038086
1882,1550.58491211
1886,822.235087891
1892,1425.94134277
1894,2593.93739258
1898,2899.82104004
1899,2290.85693359
1902,1135.57445801
1903,3395.40376465
1906,1678.26286865
1910,2202.58724609
1911,1719.0478125
1914,3106.16601074
1929,3283.73799316
1932,1332.12546631
1952,946.809472656
1959,1294.57126221
1960,1972.89105225
1976,3787.18379395
1980,2695.91409668
1981,2168.32949219
1987,1835.55425781
1994,1608.69682129
2000,940.475716553
2008,1885.84577637
2011,2130.50390381
2012,4898.84422852
2019,1833.2330957
2022,3101.00262695
2024,7551.5253125
2028,1025.72318604
2030,3733.52402344
2031,7700.45270508
2047,1834.46503174
2049,718.773702393
2050,1472.85802002
2051,4248.10319336
2056,1739.82830811
2057,1115.49799805
2059,2404.76421387
2069,3316.93591797
2085,1318.23785889
2089,1024.17981445
2090,1582.47176025
2101,3086.8463623
2114,2400.0368457
2115,1312.13639404
2118,1338.2843335
2119,2235.60894043
2125,1579.04817139
2128,2776.9983252
2129,1482.38949951
2132,1760.95499756
2133,2376.40488281
2135,727.523118896
2136,1748.50906006
2143,1095.05956787
2144,1248.20324951
2145,2652.19263184
2152,1929.01231445
2160,3281.67539063
2166,1510.80640381
2169,1117.04503174
2170,1382.97147949
2172,1666.55327637
2181,1412.91469482
2183,1630.53031494
2185,2660.88421875
2188,2624.79523926
2189,2050.54065674
2194,4840.63588867
2202,1504.56828857
2208,2609.76116211
2227,1420.98365234
2230,5340.21634766
2235,1974.95737061
2236,1624.16533203
2244,7011.68008789
2248,1474.47942871
2252,1451.22622803
2254,1720.54520264
2260,5561.29708008
2263,2048.9660083
2274,1563.06054688
2277,908.777922363
2279,6330.91609375
2280,11111.4794531
2283,2399.61132812
2284,851.930905762
2288,2902.18656738
2292,2008.06719482
2295,4863.03311523
2296,1113.64155518
2299,2386.37676758
2315,5815.39796875
2318,1534.20111816
2329,10100.0471094
2337,1707.51157959
2340,896.565544434
2342,1755.59946777
2347,2056.87597656
2349,4242.01260254
2354,1273.24336914
2361,2388.05653809
2370,1684.61294678
2378,2720.70640625
2382,3882.30719238
2387,1716.24405029
2389,2085.72926025
2394,1332.94745605
2396,2135.12257324
2400,2918.1898584
2407,1985.0345874
2414,1020.80537842
2415,1673.40977051
2421,1952.7038916
2427,1871.26481934
2428,2419.38718262
2430,2468.64960938
2435,2306.57087891
2445,4648.97782715
2446,1623.53376221
2447,1122.58307861
2449,1823.63147217
2451,1892.06144775
2458,14118.5455664
2462,11380.6919336
2463,2345.80641113
2467,2237.33996338
2471,5748.89101563
2475,2012.84399414
2478,2599.49663086
2483,4850.26292969
2485,1209.03470459
2487,1226.11145752
2494,700.42732666
2497,1863.02574463
2499,1534.74327393
2503,1237.65403809
2513,2412.23880371
2515,2152.1980249
2522,1470.61336182
2523,1323.61255859
2528,2668.12254883
2532,4672.82524414
